Date,Open,High,Low,Close,Adj Close,Volume
2018-07-13,6.580000,6.670000,6.560000,6.630000,6.099037,3743921
2018-07-16,6.600000,6.650000,6.535000,6.550000,6.025444,2773299
2018-07-17,6.540000,6.590000,6.515000,6.520000,5.997847,2485462
2018-07-18,6.530000,6.680000,6.520000,6.640000,6.108236,5912582
2018-07-19,6.700000,6.840000,6.695000,6.750000,6.209426,5482933
2018-07-20,6.730000,6.850000,6.720000,6.810000,6.264622,3595916
2018-07-23,6.790000,6.790000,6.650000,6.710000,6.172630,5101273
2018-07-24,6.700000,6.785000,6.670000,6.720000,6.181829,3784626
2018-07-25,6.720000,6.745000,6.675000,6.710000,6.172630,2205345
2018-07-26,6.720000,6.720000,6.600000,6.670000,6.135834,3977665
2018-07-27,6.740000,6.805000,6.720000,6.780000,6.237025,5123794
2018-07-30,6.740000,6.800000,6.730000,6.790000,6.246223,2297017
2018-07-31,6.780000,6.835000,6.710000,6.720000,6.181829,6603185
2018-08-01,6.720000,6.750000,6.610000,6.650000,6.117435,3253318
2018-08-02,6.690000,6.700000,6.635000,6.660000,6.126634,5835806
2018-08-03,6.670000,6.700000,6.610000,6.640000,6.108236,3678553
2018-08-06,6.680000,6.790000,6.670000,6.760000,6.218626,3535667
2018-08-07,6.770000,6.785000,6.665000,6.670000,6.135834,3252316
2018-08-08,6.630000,6.725000,6.615000,6.720000,6.181829,2470025
2018-08-09,6.750000,6.810000,6.730000,6.780000,6.237025,3514834
2018-08-10,6.760000,6.780000,6.630000,6.660000,6.126634,3066227
2018-08-13,6.640000,6.710000,6.585000,6.610000,6.080639,2326112
2018-08-14,6.620000,6.630000,6.570000,6.600000,6.071439,3893818
2018-08-15,6.570000,6.630000,6.540000,6.610000,6.080639,2773579
2018-08-16,6.630000,6.770000,6.610000,6.740000,6.200227,4614741
2018-08-17,6.660000,6.730000,6.600000,6.620000,6.089838,2977215
2018-08-20,6.700000,6.800000,6.680000,6.760000,6.218626,4381417
2018-08-21,6.780000,6.920000,6.760000,6.830000,6.283020,4382209
2018-08-22,6.760000,6.820000,6.630000,6.720000,6.181829,2885659
2018-08-23,6.750000,6.790000,6.205000,6.530000,6.007046,14578203
2018-08-24,6.530000,6.655000,6.340000,6.350000,5.841460,6882366
2018-08-27,6.330000,6.435000,6.240000,6.390000,5.878257,6361914
2018-08-28,6.440000,6.615000,6.405000,6.450000,5.933452,14740653
2018-08-29,6.480000,6.610000,6.455000,6.570000,6.043842,5396370
2018-08-30,6.580000,6.590000,6.420000,6.440000,5.924253,5761798
2018-08-31,6.480000,6.490000,6.370000,6.430000,5.915053,5126242
2018-09-03,6.450000,6.565000,6.400000,6.420000,5.905854,3122464
2018-09-04,6.390000,6.420000,6.300000,6.370000,5.859859,4455823
2018-09-05,6.270000,6.320000,6.250000,6.250000,5.841167,4515564
2018-09-06,6.200000,6.240000,6.075000,6.150000,5.747708,5150937
2018-09-07,6.080000,6.210000,6.025000,6.190000,5.785092,5848309
2018-09-10,6.150000,6.250000,6.100000,6.200000,5.794438,4937370
2018-09-11,6.200000,6.280000,6.180000,6.230000,5.822476,5652290
2018-09-12,6.180000,6.300000,6.140000,6.230000,5.822476,5723398
2018-09-13,6.250000,6.300000,6.240000,6.290000,5.878551,4027416
2018-09-14,6.260000,6.295000,6.200000,6.270000,5.859859,3224286
2018-09-17,6.240000,6.250000,6.190000,6.220000,5.813129,3304908
2018-09-18,6.150000,6.170000,6.030000,6.110000,5.710325,6486776
2018-09-19,6.090000,6.135000,6.020000,6.040000,5.644904,5207548
2018-09-20,6.040000,6.080000,5.960000,5.960000,5.570137,8331623
2018-09-21,5.960000,6.060000,5.960000,6.020000,5.626212,8513119
2018-09-24,5.960000,5.980000,5.905000,5.950000,5.560791,4494336
2018-09-25,5.900000,5.905000,5.810000,5.850000,5.467333,7926476
2018-09-26,5.850000,5.850000,5.785000,5.820000,5.439295,9517350
2018-09-27,5.880000,5.950000,5.830000,5.900000,5.514062,6539926
2018-09-28,5.910000,5.965000,5.850000,5.900000,5.514062,5993061
2018-10-01,5.810000,5.855000,5.800000,5.830000,5.448641,1415503
2018-10-02,5.810000,5.820000,5.640000,5.640000,5.271070,7040631
2018-10-03,5.630000,5.735000,5.620000,5.700000,5.327145,7595373
2018-10-04,5.710000,5.710000,5.660000,5.690000,5.317799,4666153
2018-10-05,5.710000,5.750000,5.640000,5.660000,5.289761,6933037
2018-10-08,5.630000,5.630000,5.520000,5.560000,5.196302,4357665
2018-10-09,5.550000,5.580000,5.445000,5.480000,5.121536,5899267
2018-10-10,5.450000,5.540000,5.370000,5.530000,5.168265,8640279
2018-10-11,5.400000,5.430000,5.285000,5.320000,4.972002,8969476
2018-10-12,5.370000,5.555000,5.370000,5.500000,5.140227,9598862
2018-10-15,5.410000,5.440000,5.300000,5.340000,4.990694,4281526
2018-10-16,5.390000,5.455000,5.350000,5.430000,5.074806,5586181
2018-10-17,5.410000,5.470000,5.380000,5.450000,5.093498,4997448
2018-10-18,5.500000,5.625000,5.475000,5.580000,5.214994,7118958
2018-10-19,5.580000,5.645000,5.540000,5.590000,5.224340,6568239
2018-10-22,5.650000,5.730000,5.580000,5.650000,5.280416,10819419
2018-10-23,5.720000,5.740000,5.540000,5.550000,5.186957,7605464
2018-10-24,5.590000,5.650000,5.530000,5.620000,5.252378,6303464
2018-10-25,5.520000,5.700000,5.360000,5.360000,5.009385,10084639
2018-10-26,5.370000,5.400000,5.180000,5.230000,4.887889,9721685
2018-10-29,5.270000,5.400000,5.230000,5.360000,5.009385,4049500
2018-10-30,5.280000,5.360000,5.280000,5.360000,5.009385,4368082
2018-10-31,5.380000,5.490000,5.360000,5.470000,5.112189,6153576
2018-11-01,5.440000,5.590000,5.410000,5.540000,5.177610,5381199
2018-11-02,5.510000,5.690000,5.470000,5.670000,5.299107,5467632
2018-11-05,5.570000,5.620000,5.500000,5.580000,5.214994,3989813
2018-11-06,5.540000,5.650000,5.540000,5.640000,5.271070,3398266
2018-11-07,5.600000,5.680000,5.520000,5.670000,5.299107,4111088
2018-11-08,5.730000,5.750000,5.670000,5.710000,5.336490,3484009
2018-11-09,5.710000,5.845000,5.685000,5.830000,5.448641,5234795
2018-11-12,5.800000,5.960000,5.780000,5.900000,5.514062,7105597
2018-11-13,5.810000,5.860000,5.720000,5.750000,5.373874,7279461
2018-11-14,5.880000,5.990000,5.730000,5.760000,5.383220,8685903
2018-11-15,5.730000,5.830000,5.720000,5.770000,5.392566,5835370
2018-11-16,5.730000,5.760000,5.625000,5.690000,5.317799,4150546
2018-11-19,5.640000,5.730000,5.570000,5.590000,5.224340,5445070
2018-11-20,5.520000,5.540000,5.435000,5.470000,5.112189,6599038
2018-11-21,5.430000,5.595000,5.390000,5.580000,5.214994,6079123
2018-11-22,5.570000,5.750000,5.570000,5.680000,5.308453,4777292
2018-11-23,5.630000,5.760000,5.625000,5.730000,5.355182,2700747
2018-11-26,5.760000,5.960000,5.730000,5.890000,5.504716,6202075
2018-11-27,5.930000,5.940000,5.790000,5.910000,5.523407,5533768
2018-11-28,5.950000,6.130000,5.940000,6.040000,5.644904,7727487
2018-11-29,6.050000,6.140000,5.975000,6.060000,5.663596,7025925
2018-11-30,6.140000,6.160000,5.865000,5.960000,5.570137,8964978
2018-12-03,6.060000,6.140000,5.950000,5.990000,5.598175,8257536
2018-12-04,5.980000,6.030000,5.860000,5.940000,5.551446,7326051
2018-12-05,5.770000,5.850000,5.700000,5.760000,5.383220,8058133
2018-12-06,5.760000,5.780000,5.660000,5.690000,5.317799,5744112
2018-12-07,5.700000,5.775000,5.600000,5.720000,5.345836,7640996
2018-12-10,5.580000,5.620000,5.480000,5.510000,5.149573,8699522
2018-12-11,5.550000,5.580000,5.400000,5.460000,5.102844,27119513
2018-12-12,5.530000,5.550000,5.470000,5.480000,5.121536,8662607
2018-12-13,5.530000,5.590000,5.495000,5.530000,5.168265,5546924
2018-12-14,5.500000,5.520000,5.420000,5.490000,5.130881,8813331
2018-12-17,5.530000,5.540000,5.450000,5.500000,5.140227,5398551
2018-12-18,5.520000,5.590000,5.470000,5.520000,5.158919,6527317
2018-12-19,5.590000,5.830000,5.585000,5.800000,5.420604,11319002
2018-12-20,5.750000,5.830000,5.740000,5.760000,5.383220,7670904
2018-12-21,5.780000,5.830000,5.605000,5.640000,5.271070,6464301
2018-12-24,5.540000,5.660000,5.530000,5.650000,5.280416,830279
2018-12-27,5.720000,5.770000,5.655000,5.760000,5.383220,3047859
2018-12-28,5.800000,5.820000,5.710000,5.820000,5.439295,2243092
2018-12-31,5.840000,5.850000,5.750000,5.790000,5.411258,1608641
2019-01-02,5.840000,5.905000,5.750000,5.760000,5.383220,3439023
2019-01-03,5.750000,5.840000,5.700000,5.740000,5.364528,3122836
2019-01-04,5.650000,5.720000,5.540000,5.690000,5.317799,4405253
2019-01-07,5.670000,5.830000,5.660000,5.790000,5.411258,2960672
2019-01-08,5.820000,5.910000,5.780000,5.900000,5.514062,4807112
2019-01-09,5.940000,6.130000,5.900000,6.110000,5.710325,8926783
2019-01-10,6.060000,6.085000,5.990000,6.070000,5.672942,10143903
2019-01-11,6.020000,6.050000,5.890000,5.910000,5.523407,5764791
2019-01-14,5.900000,5.980000,5.865000,5.920000,5.532754,3313493
2019-01-15,5.900000,5.970000,5.900000,5.960000,5.570137,4028139
2019-01-16,5.910000,6.010000,5.860000,6.000000,5.607520,4934951
2019-01-17,6.050000,6.080000,5.990000,6.050000,5.654250,2999024
2019-01-18,6.050000,6.155000,6.050000,6.150000,5.747708,3494462
2019-01-21,6.150000,6.180000,6.070000,6.080000,5.682288,3114122
2019-01-22,6.080000,6.170000,6.070000,6.120000,5.719671,2498670
2019-01-23,6.150000,6.230000,6.100000,6.120000,5.719671,4950215
2019-01-24,6.100000,6.120000,5.980000,6.120000,5.719671,4601396
2019-01-25,6.110000,6.120000,5.960000,5.990000,5.598175,5710876
2019-01-29,5.950000,5.950000,5.860000,5.890000,5.504716,4647293
2019-01-30,5.600000,5.630000,5.550000,5.590000,5.224340,15180415
2019-01-31,5.500000,5.550000,5.425000,5.440000,5.084152,24868590
2019-02-01,5.440000,5.470000,5.305000,5.320000,4.972002,7875895
2019-02-04,5.360000,5.425000,5.325000,5.400000,5.046769,7534660
2019-02-05,5.420000,5.480000,5.380000,5.410000,5.056114,14042252
2019-02-06,5.470000,5.635000,5.450000,5.630000,5.261724,7999793
2019-02-07,5.650000,5.800000,5.630000,5.700000,5.327145,5832277
2019-02-08,5.590000,5.670000,5.570000,5.630000,5.261724,3639394
2019-02-11,5.670000,5.680000,5.550000,5.650000,5.280416,3401575
2019-02-12,5.620000,5.715000,5.540000,5.550000,5.186957,8297950
2019-02-13,5.660000,5.770000,5.640000,5.740000,5.364528,13137065
2019-02-14,5.760000,5.830000,5.690000,5.700000,5.327145,5806192
2019-02-15,5.740000,5.760000,5.700000,5.730000,5.355182,4579621
2019-02-18,5.760000,5.765000,5.710000,5.730000,5.355182,3884852
2019-02-19,5.740000,5.800000,5.740000,5.760000,5.383220,4013962
2019-02-20,5.800000,5.835000,5.620000,5.660000,5.289761,4347392
2019-02-21,5.490000,5.805000,5.460000,5.770000,5.392566,19152469
2019-02-22,5.770000,5.880000,5.670000,5.760000,5.383220,7782849
2019-02-25,5.740000,5.800000,5.645000,5.690000,5.317799,8390107
2019-02-26,5.630000,5.650000,5.530000,5.610000,5.243032,5732357
2019-02-27,5.670000,5.770000,5.610000,5.740000,5.364528,5411331
2019-02-28,5.740000,5.750000,5.670000,5.730000,5.355182,10285599
2019-03-01,5.770000,5.770000,5.655000,5.660000,5.289761,7246012
2019-03-04,5.620000,5.620000,5.540000,5.540000,5.289761,4300417
2019-03-05,5.480000,5.495000,5.420000,5.470000,5.222923,15985269
2019-03-06,5.500000,5.680000,5.490000,5.670000,5.413889,7215170
2019-03-07,5.720000,5.730000,5.660000,5.690000,5.432986,5218819
2019-03-08,5.630000,5.680000,5.565000,5.660000,5.404341,5232475
2019-03-11,5.590000,5.715000,5.570000,5.680000,5.423437,3368145
2019-03-12,5.680000,5.840000,5.650000,5.680000,5.423437,8357249
2019-03-13,5.590000,5.630000,5.535000,5.620000,5.366148,10981147
2019-03-14,5.630000,5.650000,5.605000,5.630000,5.375696,4026477
2019-03-15,5.640000,5.650000,5.600000,5.620000,5.366148,7528224
2019-03-18,5.630000,5.650000,5.590000,5.640000,5.385244,2781209
2019-03-19,5.600000,5.630000,5.580000,5.600000,5.347051,6259417
2019-03-20,5.530000,5.600000,5.520000,5.540000,5.289761,7012703
2019-03-21,5.500000,5.510000,5.410000,5.440000,5.194278,12245879
2019-03-22,5.510000,5.525000,5.445000,5.450000,5.203826,3317081
2019-03-25,5.400000,5.425000,5.380000,5.400000,5.156085,6863696
2019-03-26,5.340000,5.380000,5.250000,5.340000,5.098795,8082480
2019-03-27,5.320000,5.440000,5.320000,5.440000,5.194278,6452201
2019-03-28,5.410000,5.550000,5.400000,5.530000,5.280213,9413475
2019-03-29,5.580000,5.705000,5.570000,5.660000,5.404341,11504904
2019-04-01,5.660000,5.745000,5.650000,5.710000,5.452082,7447545
2019-04-02,5.710000,5.850000,5.685000,5.840000,5.576210,9160753
2019-04-03,5.840000,5.875000,5.790000,5.820000,5.557114,5557769
2019-04-04,5.770000,5.810000,5.750000,5.780000,5.518921,6623894
2019-04-05,5.720000,5.830000,5.720000,5.800000,5.538018,3754490
2019-04-08,5.820000,5.860000,5.805000,5.820000,5.557114,4129105
2019-04-09,5.800000,5.810000,5.705000,5.710000,5.452082,4356970
2019-04-10,5.710000,5.770000,5.710000,5.740000,5.480727,3452186
2019-04-11,5.700000,5.710000,5.630000,5.650000,5.394793,6274479
2019-04-12,5.680000,5.740000,5.670000,5.690000,5.432986,3737123
2019-04-15,5.680000,5.695000,5.640000,5.670000,5.413889,3453917
2019-04-16,5.630000,5.690000,5.630000,5.660000,5.404341,5395617
2019-04-17,5.690000,5.710000,5.650000,5.680000,5.423437,5587810
2019-04-18,5.730000,5.740000,5.680000,5.700000,5.442534,3898660
2019-04-23,5.670000,5.705000,5.600000,5.610000,5.356599,5150381
2019-04-24,5.650000,5.750000,5.630000,5.720000,5.461630,7395547
2019-04-26,5.700000,5.720000,5.580000,5.590000,5.337503,8318487
2019-04-29,5.590000,5.590000,5.550000,5.570000,5.318406,6781256
2019-04-30,5.600000,5.660000,5.570000,5.610000,5.356599,5648568
2019-05-01,5.570000,5.720000,5.565000,5.700000,5.442534,4739197
2019-05-02,5.700000,5.770000,5.680000,5.760000,5.499824,8248468
2019-05-03,5.720000,5.790000,5.720000,5.770000,5.509372,3222494
2019-05-06,5.750000,5.760000,5.640000,5.650000,5.394793,2574238
2019-05-07,5.590000,5.615000,5.535000,5.540000,5.289761,4718557
2019-05-08,5.520000,5.525000,5.440000,5.440000,5.194278,8729287
2019-05-09,5.440000,5.660000,5.440000,5.560000,5.308857,11341051
2019-05-10,5.500000,5.505000,5.320000,5.410000,5.165633,11030020
2019-05-13,5.380000,5.430000,5.360000,5.400000,5.156085,3738017
2019-05-14,5.300000,5.340000,5.220000,5.330000,5.089247,5867648
2019-05-15,5.330000,5.340000,5.280000,5.300000,5.060602,4625621
2019-05-16,5.310000,5.390000,5.265000,5.350000,5.108344,8440450
2019-05-17,5.230000,5.330000,5.185000,5.230000,4.993764,12495631
2019-05-20,5.320000,5.365000,5.250000,5.350000,5.108344,15340536
2019-05-21,5.310000,5.400000,5.300000,5.320000,5.079699,9362788
2019-05-22,5.350000,5.465000,5.340000,5.440000,5.194278,6960066
2019-05-23,5.430000,5.480000,5.395000,5.460000,5.213375,4249839
2019-05-24,5.490000,5.520000,5.455000,5.510000,5.261117,5942933
2019-05-27,5.510000,5.530000,5.400000,5.410000,5.165633,3983078
2019-05-28,5.430000,5.520000,5.420000,5.500000,5.251568,5191267
2019-05-29,5.420000,5.520000,5.420000,5.510000,5.261117,3473468
2019-05-30,5.450000,5.500000,5.425000,5.490000,5.242020,5343652
2019-05-31,5.530000,5.575000,5.520000,5.550000,5.299310,6648809
2019-06-03,5.470000,5.520000,5.385000,5.390000,5.146536,6970645
2019-06-04,5.350000,5.440000,5.340000,5.390000,5.146536,5375325
2019-06-05,5.470000,5.470000,5.410000,5.430000,5.184730,3454736
2019-06-06,5.410000,5.520000,5.410000,5.500000,5.251568,8413790
2019-06-07,5.460000,5.560000,5.390000,5.530000,5.280213,7016269
2019-06-11,5.560000,5.720000,5.550000,5.680000,5.423437,8872517
2019-06-12,5.700000,5.750000,5.685000,5.690000,5.432986,6944829
2019-06-13,5.710000,5.715000,5.620000,5.620000,5.366148,4395144
2019-06-14,5.620000,5.690000,5.600000,5.600000,5.347051,5544354
2019-06-17,5.580000,5.590000,5.530000,5.540000,5.289761,4244214
2019-06-18,5.540000,5.545000,5.440000,5.470000,5.222923,7312984
2019-06-19,5.540000,5.590000,5.470000,5.520000,5.270665,5547703
2019-06-20,5.450000,5.480000,5.330000,5.430000,5.184730,21347536
2019-06-21,5.420000,5.470000,5.370000,5.410000,5.165633,12533782
2019-06-24,5.380000,5.410000,5.320000,5.350000,5.108344,3818782
2019-06-25,5.330000,5.350000,5.280000,5.300000,5.060602,5361156
2019-06-26,5.290000,5.370000,5.270000,5.360000,5.117892,6229038
2019-06-27,5.350000,5.430000,5.320000,5.410000,5.165633,3195729
2019-06-28,5.420000,5.430000,5.360000,5.400000,5.156085,5463155
2019-07-01,5.410000,5.430000,5.390000,5.400000,5.156085,2573526
2019-07-02,5.420000,5.470000,5.410000,5.430000,5.184730,3127848
2019-07-03,5.410000,5.490000,5.410000,5.470000,5.222923,5296943
2019-07-04,5.520000,5.630000,5.500000,5.620000,5.366148,6288658
2019-07-05,5.600000,5.750000,5.580000,5.720000,5.461630,5089814
2019-07-08,5.740000,5.760000,5.660000,5.670000,5.413889,3851252
2019-07-09,5.690000,5.740000,5.640000,5.670000,5.413889,3465484
2019-07-10,5.710000,5.840000,5.690000,5.830000,5.566662,5980316
2019-07-11,5.770000,5.815000,5.710000,5.710000,5.452082,4735610
2019-07-12,5.700000,5.790000,5.700000,5.720000,5.461630,3220041
2019-07-15,5.690000,5.730000,5.660000,5.670000,5.413889,2202272
2019-07-16,5.640000,5.665000,5.600000,5.620000,5.366148,3205635
2019-07-17,5.600000,5.720000,5.600000,5.710000,5.452082,3349298
2019-07-18,5.690000,5.710000,5.630000,5.630000,5.375696,2532193
2019-07-19,5.600000,5.680000,5.600000,5.640000,5.385244,3401670
2019-07-22,5.640000,5.645000,5.560000,5.590000,5.337503,4666282
2019-07-23,5.630000,5.705000,5.615000,5.650000,5.394793,5019297
2019-07-24,5.720000,5.790000,5.700000,5.790000,5.528469,4438126
2019-07-25,5.810000,5.830000,5.750000,5.820000,5.557114,3491068
2019-07-26,5.780000,5.800000,5.740000,5.750000,5.490276,3542937
2019-07-29,5.800000,5.840000,5.780000,5.810000,5.547565,3836685
2019-07-30,5.850000,5.890000,5.800000,5.830000,5.566662,8123991
2019-07-31,5.820000,5.825000,5.710000,5.710000,5.452082,4668948
2019-08-01,5.720000,5.790000,5.700000,5.770000,5.509372,3295615
2019-08-02,5.780000,5.840000,5.750000,5.830000,5.566662,3650466
2019-08-05,5.800000,5.810000,5.680000,5.710000,5.452082,2631705
2019-08-06,5.560000,5.595000,5.530000,5.530000,5.280213,6202495
2019-08-07,5.530000,5.630000,5.520000,5.610000,5.356599,4592416
2019-08-08,5.580000,5.705000,5.550000,5.700000,5.442534,4509945
2019-08-09,5.680000,5.760000,5.670000,5.740000,5.480727,4303091
2019-08-12,5.780000,5.800000,5.710000,5.750000,5.490276,2990202
2019-08-13,5.710000,5.800000,5.660000,5.780000,5.518921,5355854
2019-08-14,5.790000,5.860000,5.780000,5.840000,5.576210,4520323
2019-08-15,5.720000,5.735000,5.550000,5.570000,5.318406,9304426
2019-08-16,5.570000,5.630000,5.510000,5.530000,5.280213,5489772
2019-08-19,5.620000,5.640000,5.550000,5.640000,5.385244,4287864
2019-08-20,5.620000,5.750000,5.620000,5.750000,5.490276,5453409
2019-08-21,5.750000,5.820000,5.680000,5.780000,5.518921,5254101
2019-08-22,5.890000,6.070000,5.720000,5.860000,5.595307,21291065
2019-08-23,6.100000,6.120000,5.855000,5.890000,5.623952,13075994
2019-08-26,5.810000,5.890000,5.750000,5.880000,5.614404,5934684
2019-08-27,5.910000,6.145000,5.910000,6.070000,5.795822,12387877
2019-08-28,6.030000,6.135000,5.940000,6.100000,5.824466,8446216
2019-08-29,6.080000,6.100000,5.980000,6.000000,5.728983,13525292
2019-08-30,6.040000,6.175000,6.035000,6.110000,5.834014,9855499
2019-09-02,5.970000,6.060000,5.920000,5.980000,5.834014,3979871
2019-09-03,5.960000,6.100000,5.960000,6.060000,5.912062,4107094
2019-09-04,5.990000,6.060000,5.920000,6.050000,5.902306,7218329
2019-09-05,6.050000,6.120000,6.000000,6.080000,5.931573,4890888
2019-09-06,6.150000,6.240000,6.110000,6.230000,6.077911,8183074
